heading_text,label,page,font_size,font_name,is_bold,alignment,indentation,is_numbered,has_colon,line_length
Application form for grant of LTC advance,H1,1,11.67,Arial,TRUE,right,199.86,FALSE,FALSE,41
Revision History,H1,2,15.96,Arial,TRUE,left,70.944,FALSE,FALSE,16
Table of Contents,H1,3,15.96,Arial,TRUE,left,70.944,FALSE,FALSE,17
Acknowledgements,H1,4,15.96,Arial,FALSE,left,70.944,FALSE,FALSE,16
1.Introduction to the Foundation Level Extensions,H1,5,15.96,Arial,FALSE,left,70.944,TRUE,TRUE,50
2.Introduction to Foundation Level Agile Tester Extension,H1,6,15.96,Arial,FALSE,center,70.944,TRUE,TRUE,58
2.1 Intended Audience,H2,6,14.04,Arial,FALSE,left,70.944,TRUE,FALSE,21
2.2 Career Paths for Testers,H2,6,14.04,Arial,FALSE,left,70.944,TRUE,FALSE,28
2.3 Learning Objectives,H2,6,14.04,Arial,FALSE,left,70.944,TRUE,FALSE,23
2.4 Entry Requirements,H2,7,14.04,Arial,FALSE,left,70.944,TRUE,FALSE,22
2.5 Structure and Course Duration,H2,7,14.04,Arial,FALSE,left,70.944,TRUE,FALSE,33
2.6 Keeping It Current,H2,8,14.04,Arial,FALSE,left,70.944,TRUE,FALSE,22
3.Overview of the Foundation Level Extension – Agile TesterSyllabus,H1,9,15.96,Arial,FALSE,center,70.944,TRUE,TRUE,60
3.1 Business Outcomes,H2,9,14.04,Arial,FALSE,left,70.944,TRUE,FALSE,21
3.2 Content,H2,9,14.04,Arial,FALSE,left,70.944,TRUE,FALSE,11
4.References,H1,11,15.96,Arial,TRUE,left,70.944,FALSE,FALSE,13
4.1 Trademarks,H2,11,14.04,Arial,FALSE,left,70.944,TRUE,FALSE,14
4.2 Documents and Web Sites,H2,11,14.04,Arial,FALSE,left,70.944,TRUE,FALSE,23
Ontario’s Digital Library,H1,2,20.04,Arial-Black,TRUE,left,90.04,FALSE,FALSE,25
A Critical Component for Implementing Ontario’s Road Map to Prosperity Strategy,H1,2,15.96,ArialMT,FALSE,center,90.04,FALSE,FALSE,59
Summary,H2,2,12,Arial-Black,TRUE,left,96.04,FALSE,FALSE,7
Background,H2,3,12,Arial-Black,TRUE,left,96.04,FALSE,FALSE,10
Equitable access for all Ontarians:,H3,4,11.04,Arial-BoldItalicMT,TRUE,left,90.03,FALSE,TRUE,35
Shared decision-making and accountability:,H3,4,11.04,Arial-BoldItalicMT,TRUE,left,90.03,FALSE,TRUE,42
Shared governance structure:,H3,4,11.04,Arial-BoldItalicMT,TRUE,left,90.03,FALSE,TRUE,28
Shared funding:,H3,4,11.04,Arial-BoldItalicMT,TRUE,left,90.03,FALSE,TRUE,15
Local points of entry:,H3,5,11.04,Arial-BoldItalicMT,TRUE,left,90,TRUE,TRUE,22
Access:,H3,5,11.04,Arial-BoldItalicMT,TRUE,left,90,FALSE,TRUE,7
Guidance and Advice:,H3,5,11.04,Arial-BoldItalicMT,TRUE,left,90,FALSE,TRUE,20
Training:,H3,5,11.04,Arial-BoldItalicMT,TRUE,left,90,FALSE,TRUE,9
Provincial Purchasing & Licensing:,H3,5,11.04,Arial-BoldItalicMT,TRUE,left,90,FALSE,TRUE,34
Technological Support:,H3,5,11.04,Arial-BoldItalicMT,TRUE,left,90,FALSE,TRUE,22
What could the ODL really mean?,H2,5,11.04,Arial-Black,TRUE,left,90,FALSE,FALSE,31
For each Ontario citizen it could mean:,H4,5,11.04,Arial-BoldMT,TRUE,left,90,FALSE,TRUE,39
For each Ontario student it could mean:,H4,5,11.04,Arial-BoldMT,TRUE,left,89.99,FALSE,TRUE,39
For each Ontario library it could mean:,H4,6,11.04,Arial-BoldMT,TRUE,left,90.03,FALSE,TRUE,39
For the Ontario government it could mean:,H4,6,11.04,Arial-BoldMT,TRUE,left,90.03,FALSE,TRUE,41
The Business Plan to be Developed,H2,6,12,Arial-Black,TRUE,left,96.04,FALSE,FALSE,33
Milestones,H3,7,12,Arial-Black,TRUE,left,96.04,TRUE,FALSE,10
Approach and Specific Proposal Requirements,H2,7,12,Arial-Black,TRUE,left,99.52,FALSE,FALSE,43
Evaluation and Awarding of Contract,H2,8,12,Arial-Black,TRUE,left,96.04,FALSE,FALSE,35
Appendix A: ODL Envisioned Phases & Funding,H2,9,12,Arial-Black,TRUE,left,90.04,TRUE,TRUE,44
Appendix B:,H2,11,12,Arial-Black,TRUE,left,96.04,TRUE,TRUE,11
ODL Steering Committee Terms of Reference,H2,11,12,Arial-Black,TRUE,right,198.02,FALSE,FALSE,41
5.Preamble,H3,11,9.96,Arial-BoldMT,TRUE,left,90.04,TRUE,FALSE,11
6.Term,H3,12,9.96,Arial-BoldMT,TRUE,left,90.04,TRUE,FALSE,7
7.Chair,H3,12,9.96,Arial-BoldMT,TRUE,left,90.04,TRUE,FALSE,8
8.Meetings,H3,12,9.96,Arial-BoldMT,TRUE,left,90.04,TRUE,FALSE,11
Appendix C:,H2,14,12,Arial-Black,TRUE,left,96.04,TRUE,TRUE,11
ODL’s Envisioned Electronic Resources,H2,14,12,Arial-Black,TRUE,center,198,FALSE,FALSE,37
Parsippany -Troy Hills STEM Pathways,H1,1,28.01,Calibri-Bold,TRUE,left,125.82,FALSE,FALSE,36
PATHWAY OPTIONS,H2,0,15.31,Sniglet-Regular,FALSE,center,240.18,FALSE,FALSE,15
Elective Course Offerings,H2,1,22.01,Sniglet-Regular,FALSE,center,182.11,FALSE,FALSE,25
What Colleges Say!,H3,1,18.01,TimesNewRomanPS-BoldMT,TRUE,center,229.62,FALSE,FALSE,18
Introduction,H1,1,12,AdobeClean-Bold,TRUE,left,72,TRUE,FALSE,12
Overview of the Region,H1,2,12,AdobeClean-Bold,TRUE,left,72,FALSE,FALSE,22
Travel Tips,H2,2,12,AdobeClean-Bold,TRUE,left,72,FALSE,FALSE,11
Marseille: The Oldest City in France,H1,3,12,AdobeClean-Bold,TRUE,left,72,TRUE,TRUE,36
History,H2,3,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,7
Key Attractions,H2,3,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,15
Local Experiences,H2,3,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,17
Cultural Highlights,H2,3,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,19
Nice: The Jewel of the French Riviera,H1,5,12,AdobeClean-Bold,TRUE,left,72,FALSE,TRUE,37
History,H2,5,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,7
Key Attractions,H2,5,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,15
Hidden Gems,H2,5,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,11
Cultural Highlights,H2,5,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,19
Avignon: The City of Popes,H1,7,12,AdobeClean-Bold,TRUE,left,72,FALSE,TRUE,26
History,H2,7,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,7
Key Attractions,H2,7,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,15
Cultural Activities,H2,7,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,19
Cultural Highlights,H2,7,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,19
Aix-en-Provence: A City of Art and Culture,H1,8,12,AdobeClean-Bold,TRUE,left,72,FALSE,TRUE,42
History,H2,8,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,7
Key Attractions,H2,8,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,15
Artistic Heritage,H2,8,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,17
Cultural Highlights,H2,8,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,19
Toulouse: The Pink City,H1,9,12,AdobeClean-Bold,TRUE,left,72,TRUE,TRUE,23
History,H2,9,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,7
Key Attractions,H2,9,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,15
Aerospace Industry,H2,9,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,18
Cultural Highlights,H2,9,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,19
Montpellier: A University City with Medieval Charm,H1,10,12,AdobeClean-Bold,TRUE,left,72,TRUE,TRUE,50
History,H2,10,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,7
Key Attractions,H2,10,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,15
Student Life,H2,10,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,12
Cultural Highlights,H2,10,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,19
Perpignan: A Blend of French and Catalan Cultures,H1,11,12,AdobeClean-Bold,TRUE,left,72,TRUE,TRUE,49
History,H2,11,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,7
Key Attractions,H2,11,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,15
Cultural Fusion,H2,11,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,15
Cultural Highlights,H2,11,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,19
Arles: A Roman Treasure,H1,12,12,AdobeClean-Bold,TRUE,left,72,TRUE,TRUE,23
History,H2,12,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,7
Key Attractions,H2,12,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,15
Artistic Influence,H2,12,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,18
Cultural Highlights,H2,12,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,19
Carcassonne: A Medieval Fortress,H1,13,12,AdobeClean-Bold,TRUE,left,72,TRUE,TRUE,32
History,H2,13,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,7
Key Attractions,H2,13,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,15
Medieval Life,H2,13,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,13
Cultural Highlights,H2,13,12,AdobeClean-Regular,FALSE,left,72,TRUE,FALSE,19
Conclusion,H1,14,12,AdobeClean-Bold,TRUE,left,72,TRUE,FALSE,10
A Historical Journey Through the South of France,H1,1,12,AdobeClean-Bold,TRUE,left,72,FALSE,FALSE,48
Key Historical Sites in Marseille,H2,2,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,33
Key Historical Sites in Nice,H2,3,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,28
Key Historical Sites in Avignon,H2,4,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,31
Nîmes: The Rome of France,H1,5,12,AdobeClean-Bold,TRUE,left,72,TRUE,TRUE,25
Key Historical Sites in Nîmes,H2,5,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,29
Key Historical Sites in Carcassonne,H2,6,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,35
Key Historical Sites in Toulouse,H2,7,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,32
Key Historical Sites in Arles,H2,8,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,29
Key Historical Sites in Aix-en-Provence,H2,9,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,39
Key Historical Sites in Montpellier,H2,10,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,35
Key Historical Sites in Perpignan,H2,11,12,AdobeClean-Regular,FALSE,left,72,FALSE,FALSE,33
ADDRESS:,H1,1,12.4,Helvetica,FALSE,left,32.6488,FALSE,TRUE,8
TOPJUMP,H1,1,12.41,Helvetica,FALSE,center,131.4354,FALSE,FALSE,7
3735 PARKWAY,H2,1,12.4,Helvetica,FALSE,center,114.8059,TRUE,FALSE,12
PIGEON FORGE,H2,1,12.4,Helvetica,FALSE,center,81.07899,FALSE,FALSE,22
(NEAR DIXIE STAMPEDE ON THE PARKWAY),H3,1,9.4,Helvetica,FALSE,center,58.3879,FALSE,FALSE,36
RSVP:,H3,1,12.4,Helvetica-Bold,TRUE,center,29.489,FALSE,TRUE,22
CLOSED TOED SHOES ARE REQUIRED FOR CLIMBING,H4,1,7.2,Helvetica,FALSE,center,62.2978,TRUE,FALSE,43
PARENTS OR GUARDIANS NOT ATTENDING THE PARTY,H3,1,7.2,Helvetica,FALSE,center,59.6057,FALSE,FALSE,45
PLEASE VISIT TOPJUMP.COM TO FILL OUT WAIVER,H2,1,7.2,Helvetica,FALSE,center,65.1152,FALSE,FALSE,43
SO YOUR CHILD CAN ATTEND.,H1,1,7.2,Helvetica,FALSE,center,106.7062,FALSE,FALSE,25
HOPE To SEE You THERE!,H2,1,22.7,Helvetica-Bold,TRUE,center,33.4188,FALSE,FALSE,22
WWW.TOPJUMP.COM,H2,1,18.03,Helvetica,FALSE,center,93.7867,FALSE,FALSE,15
Parsippany -Troy Hills STEM Pathways,H1,1,28.01,Calibri-Bold,TRUE,left,125.82,FALSE,FALSE,36
PATHWAY OPTIONS,H2,1,15.31,Sniglet-Regular,FALSE,center,240.18,FALSE,FALSE,15
Elective Course Offerings,H2,2,22.01,Sniglet-Regular,FALSE,center,182.11,FALSE,FALSE,25
What Colleges Say!,H3,2,18.01,TimesNewRomanPS-BoldMT,TRUE,center,229.62,FALSE,FALSE,18
Safety Guidelines,H3,2,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,16
Party Rules,H3,2,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,11
Check-In Procedure,H3,2,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,18
Waiver Requirements,H3,2,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,18
Facility Map,H3,2,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,12
Parking Details,H3,2,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,14
COVID-19 Protocols,H3,2,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,18
Food & Drinks Policy,H3,3,11,Helvetica-Bold,TRUE,left,48,FALSE,TRUE,18
Gift Drop Location,H3,3,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,17
Restroom Locations,H3,3,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,18
Supervision Guidelines,H3,3,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,20
Staff Assistance,H3,3,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,15
Emergency Exits,H3,3,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,14
Party Schedule,H3,4,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,14
Lost and Found Policy,H3,4,11,Helvetica-Bold,TRUE,left,48,FALSE,FALSE,19
Indoor Play Area,H4,2,9,Helvetica,FALSE,left,54,FALSE,FALSE,16
Trampoline Access,H4,2,9,Helvetica,FALSE,left,54,FALSE,FALSE,17
Climbing Wall,H4,2,9,Helvetica,FALSE,left,54,FALSE,FALSE,13
